secs	accel
694.100000	-0.003174
695.500000	0.045410
696.200000	0.019287
719.500000	0.217529
728.800000	-0.249268
778.800000	0.171875
789.300000	-0.145752
791.900000	-0.000244
795.000000	0.163574
797.100000	0.099365
804.500000	-0.183105
812.200000	0.083252
813.600000	0.003174
816.000000	-0.085205
817.400000	-0.055664
817.900000	-0.099121
821.600000	-0.035645
822.400000	0.020264
822.900000	-0.010498
825.500000	-0.060059
826.300000	-0.013184
826.800000	-0.015381
835.500000	0.180664
845.200000	-0.010254
847.600000	-0.021240
851.600000	0.130859
861.900000	-0.008789
862.700000	0.017090
863.700000	-0.028809
864.200000	-0.018311
864.600000	-0.070068
865.800000	-0.052002
866.900000	-0.013428
867.400000	-0.003662
875.300000	0.224365
885.200000	-0.158936
891.100000	-0.014648
894.000000	0.049561
903.800000	-0.189941
911.900000	0.012695
930.900000	0.270752
944.600000	-0.106934
947.200000	-0.009277
948.500000	0.056152
949.300000	0.044189
949.700000	0.012451
950.100000	0.001953
957.200000	-0.211426
967.700000	0.098145
971.800000	0.057129
974.100000	0.007812
975.300000	-0.039062
977.800000	0.038330
978.600000	0.004395
980.100000	-0.039795
980.900000	-0.016357
989.600000	0.159180
997.000000	0.008789
1000.300000	-0.103027
1026.100000	0.235352
1034.800000	-0.318359
1041.700000	-0.007324
1046.100000	0.102783
1056.900000	-0.077148
1061.200000	-0.010986
1083.700000	0.187012
1091.700000	-0.093262
1095.000000	-0.015625
1096.000000	0.024170
1099.900000	0.106689
1108.000000	-0.156982
1115.200000	0.004395
1119.100000	0.023926
1119.900000	0.023438
1121.200000	-0.001465
1121.600000	0.014648
1122.000000	0.014160
1126.700000	-0.070312
1145.600000	0.147949
1152.500000	0.001709
1154.300000	-0.041260
1167.300000	0.142334
1173.500000	0.010742
1174.200000	-0.006104
1182.200000	0.159180
1190.000000	-0.307129
1226.300000	0.124268
1237.900000	-0.080322
1239.900000	-0.014160
1245.700000	0.195312
1252.500000	-0.070801
1259.800000	0.124512
1266.700000	-0.165283
1276.900000	0.081787
1280.000000	0.035889
1280.400000	0.023438
1280.900000	0.029297
1281.600000	0.012939
1282.000000	-0.005371
1282.400000	0.002686
1282.900000	0.017090
1283.500000	-0.012207
1284.000000	-0.040283
1285.500000	-0.016602
1286.000000	-0.008301
1286.600000	0.004395
1287.100000	-0.012207
1287.700000	0.008545
1289.000000	0.035645
1292.900000	0.005127
1294.500000	-0.049072
1426.900000	0.078857
1434.900000	-0.142090
1446.400000	0.126221
1459.300000	0.000488
1462.400000	-0.030029
1465.400000	0.213135
1471.200000	-0.394775
1477.600000	0.201660
1481.100000	-0.176758
1489.900000	0.285645
1502.800000	-0.086426
1508.700000	0.086670
1517.800000	-0.378174
1524.000000	-0.015869
1526.100000	0.059326
1526.900000	0.031494
1528.300000	0.003418
1529.500000	-0.041748
1530.000000	0.005859
1530.400000	0.009521
1530.800000	0.000244
1531.600000	-0.011963
1532.200000	0.029053
1533.200000	0.029053
1548.900000	0.208740
1557.600000	0.008789
1558.000000	-0.013672
1558.600000	-0.052246
1559.400000	0.028320
1559.900000	0.017090
1566.200000	0.132568
1573.000000	-0.071045
1579.600000	0.118164
1581.900000	0.027832
1582.900000	-0.036133
1586.600000	-0.122070
1596.500000	-0.011230
1596.900000	-0.002686
1597.300000	-0.008789
1602.100000	0.065186
1603.900000	0.024414
1606.000000	-0.045654
1610.500000	0.039551
1612.400000	-0.002930
1612.800000	-0.001221
1613.200000	-0.012207
1627.800000	0.153809
1634.600000	-0.083008
1644.900000	0.195068
1666.300000	-0.335693
1704.700000	0.210693
1712.600000	-0.131836
1722.000000	0.141113
1726.700000	-0.023193
1728.400000	-0.009521
1728.900000	0.008301
1729.500000	-0.006348
1734.900000	0.204346
1741.100000	-0.205566
1750.200000	0.002930
1750.700000	0.002930
1751.100000	0.001709
1755.800000	-0.137695
1769.800000	0.177490
1774.000000	0.004883
1774.700000	-0.003418
1777.500000	0.210693
1790.400000	-0.028564
1790.900000	0.016357
1794.600000	0.101562
1801.800000	-0.114014
1811.400000	0.278809
1819.600000	-0.269531
1827.400000	0.127686
1834.500000	-0.101074
1842.500000	-0.020996
1849.200000	0.139404
1853.000000	-0.029785
1853.900000	0.002441
1866.800000	0.178955
1887.200000	-0.197510
1905.600000	-0.020508
1907.800000	-0.040771
1919.800000	0.222412
1943.800000	-0.117920
1952.900000	0.263184
1962.100000	-0.320557
1973.800000	0.123535
1978.000000	0.004883
1978.500000	-0.014160
1979.800000	-0.038086
1983.100000	-0.036133
1997.000000	0.246826
2005.200000	0.000000
2005.700000	0.022949
2006.100000	0.009521
2010.800000	0.127441
2021.900000	-0.106689
2025.700000	0.081299
2028.100000	0.000732
2035.400000	-0.172852
2046.100000	-0.009766
2048.300000	0.044922
2048.800000	0.012207
2049.400000	-0.022461
2051.400000	-0.051514
2072.100000	0.226562
2079.600000	-0.209473
2084.300000	-0.005859
2104.800000	0.232666
2113.700000	-0.312744
2119.400000	-0.034912
2119.900000	-0.004150
2122.800000	0.050049
2127.400000	0.016113
2127.900000	0.026123
2129.700000	0.049561
2130.300000	-0.009033
2131.000000	-0.009521
2131.400000	-0.017090
2131.900000	-0.024414
2132.300000	-0.033691
2134.300000	-0.050537
2149.200000	0.229980
2157.200000	-0.091553
2159.200000	-0.011475
2167.200000	0.187012
2173.200000	0.000977
2175.900000	-0.067871
2177.000000	-0.053711
2177.600000	0.014160
2180.300000	0.112305
2186.500000	-0.138428
2193.400000	0.023193
2199.900000	-0.150879
2222.300000	0.210693
2227.900000	-0.000244
2228.500000	0.014404
2231.000000	0.086670
2239.200000	0.007324
2242.100000	-0.041504
2251.000000	0.315430
2259.400000	-0.369385
2265.600000	-0.081543
2266.000000	-0.033203
2266.500000	-0.037109
2266.900000	-0.028320
2267.400000	-0.015381
2268.900000	0.050293
2272.700000	-0.084229
2276.700000	0.026611
2287.600000	0.246826
2299.800000	0.083008
2307.800000	0.125977
2314.000000	-0.125000
2319.600000	0.179932
2340.300000	-0.269287
2355.000000	0.240967
2366.200000	-0.039551
2377.800000	0.144775
2383.300000	-0.035156
2392.200000	0.236084
2400.400000	-0.184814
2410.500000	0.007080
2411.100000	0.003906
2414.000000	-0.117188
2423.300000	-0.000488
2445.800000	0.192139
2473.300000	-0.193115
2480.200000	0.047607
2485.300000	-0.139893
2503.100000	0.194580
2512.200000	-0.015625
2517.100000	0.120117
2526.200000	0.009766
2526.900000	-0.014404
2528.900000	-0.003906
2537.300000	0.277344
2545.500000	-0.250244
2556.100000	-0.010010
2556.700000	0.021973
2566.500000	-0.134766
2582.200000	0.183350
2601.800000	-0.032227
2609.500000	0.193604
2620.200000	-0.236816
2626.300000	0.032471
2632.000000	-0.076172
2640.200000	-0.044189
2642.700000	0.027588
2644.400000	0.006104
2645.100000	-0.020752
2652.400000	0.147217
2665.200000	0.223877
2679.000000	-0.039307
2689.000000	0.174561
2697.900000	-0.296143
2708.800000	0.120361
2713.900000	-0.025391
2715.300000	-0.003906
2715.900000	0.023193
2717.500000	-0.002930
2717.900000	-0.010254
2719.900000	-0.032471
2721.900000	-0.009277
2732.100000	0.138184
2749.000000	0.188721
2755.700000	0.010498
2757.000000	-0.016602
2759.000000	-0.003418
2764.300000	0.163574
2774.800000	-0.218506
2782.800000	0.005859
2783.200000	-0.001221
2784.300000	0.020264
2785.400000	0.008301
2789.600000	-0.104736
2794.500000	-0.009033
2806.100000	0.193604
2813.200000	0.044189
2813.900000	0.003418
2814.300000	0.022217
2814.800000	-0.000732
2820.300000	0.116699
2832.300000	-0.026611
2841.900000	0.182861
2850.800000	-0.211182
2858.000000	-0.021484
2863.100000	0.145996
2871.300000	-0.139160
2879.300000	-0.010010
2884.400000	0.125488
2899.400000	0.225098
2922.100000	-0.250977
2930.500000	0.056885
2937.900000	-0.047363
2941.300000	0.017822
2941.800000	-0.018555
2961.200000	0.193848
2966.300000	0.021240
2968.700000	-0.046387
2979.800000	0.110596
2984.000000	0.008545
2984.700000	-0.011475
2995.100000	0.280762
3003.300000	-0.326660
3013.100000	0.032715
3018.500000	-0.069824
3023.300000	-0.005615
3023.800000	-0.014160
3038.900000	0.162598
3062.500000	-0.107666
